名称,经度,纬度
昌盛鲜花店,102.691313,25.034687
星辰宠物店,102.670837,24.990878
老六卤面店,102.601226,24.676739
小龙缝纫店,102.739059,25.054571
红叶复印店,102.656925,25.091892
星梦文具店,102.737503,25.048088
来福店,102.715944,25.068797
鲜花店,102.829584,24.989131
洪鑫五金店,102.693834,25.001552
彩琴卤鸭店,102.604621,24.670524
全全理发店,102.74404,25.062198
晋宁百货大楼(郑和路店),102.600999,24.676575
美景鲜花店,102.73899,25.102388
宇妍复印店,102.832605,24.869399
摩崖文具店,102.744136,25.10923
昌隆洗车店,103.046814,25.246004
98便利店,102.999698,25.241611
新亚洲五金店,102.76947,24.950021
锦晨便利店,102.836072,24.968829
欣颖复印店,102.623333,25.000211
傻大姐美食店,103.26538,25.553535
久忆便利店,102.755514,25.122573
西城理发店,102.660659,25.071664
寅梦足浴店,102.683711,25.05577
金利五金店,102.680155,24.981935
华亿便利店,102.706977,25.029011
萍实便利店,102.700804,25.027447
光云五金店,102.716205,25.018635
全鑫百货店,102.925045,25.792414
悦苑鲜花,102.706153,25.045769
学文文具店,102.778702,25.117023
宏辉烧烤店,102.48773,24.923548
郭记煮品店,102.655506,25.066332
华山五金店,102.718236,25.052566
饲料店,103.240749,25.037439
桂春小吃店,102.680045,25.05303
3禾便利店,102.678717,25.005494
铭源五金店,102.779874,25.122705
聚铭煮品店,102.689433,25.047676
小林渔具店,102.652182,25.043888
汉堡奶茶店,102.682391,25.07575
昊鑫五金店,102.651011,25.090156
牛郎店,102.947852,25.48606
德佳渔具店,103.038442,25.340858
花圈店,103.237306,25.995735
枫树便利店,102.75081,25.157908
顺齐便利店,103.179622,26.083649
站屯便利店,103.364312,24.921154
四川缝纫店,102.655335,25.067988
鹏飞烟酒店,102.701422,25.011421
金蝉子店,102.645937,25.145973
土杂店,103.151883,24.923326
五金店,102.477002,25.548981
六六冰店,102.762496,25.01493
ML时尚店,102.643805,25.034869
东北面点店,102.697839,25.027735
加祥百货店,102.97585,25.628053
秀存理发店,102.686128,25.019979
优资莱店,103.053746,25.311484
弘香纸店,103.521705,24.828678
鲜面店,102.673647,25.065418
玉兰的店,102.688289,25.008761
佳佳文具店,102.731648,25.120819
佳星店,102.749155,25.052521
日用品店,103.241066,25.037996
安泰便利店,103.365623,24.918183
嘉缘糕点店,103.338793,25.538116
思琪便利店,102.724047,25.022254
藤原豆腐店,102.732994,25.06604
百货大楼(五星路店),102.473634,25.563652
顺众百货店,102.749467,25.135299
君佳便利店,103.259167,25.443973
顺风百货店,102.932138,25.771276
3元洗衣店,102.830496,24.896347
格楠酒店,102.710161,25.050359
碧波潭店,102.64586,25.145624
母婴店,102.746352,24.958685
五金杂货店,103.053485,25.311063
华宇音像店,102.679396,25.090557
小何超市,102.639334,25.04206
服装店,103.239733,25.036651
鹏鑫米店,102.507763,24.92425
启芬烟酒店,103.127023,25.441197
斌斌粮油店,102.703592,25.011228
雪绒服装店,102.705911,25.042386
鲁春小吃店,102.704848,25.006403
朝配烟酒店,102.932357,25.777695
6块9零食店,103.073217,25.227937
有间奶茶店,102.467584,25.340234
兴隆烧烤店,102.680302,25.09991
时新服装店,103.072972,25.227281
专业改衣店,102.7298,25.047606
珍珍小吃店,103.268434,25.74483
23元店,102.747319,24.958939
大东(秀屏路店),102.476552,25.562141
大东(茨坝正街店),102.743365,25.151456
大东(迎宾路店),103.154007,24.92364
大东(东街店),103.046682,25.344027
京畿道(文林路店),103.013514,25.240681
沃尔玛购物广场(昆明大观店),102.703908,25.048881
家乐福(云纺店),102.716483,25.027671
沃尔玛购物广场(兴苑路分店),102.663124,25.044715
家乐福(世纪广场店),102.718808,25.044219
爱琴海购物公园(广福路店),102.691572,24.998292
泰和超市(彝城新都店),102.475754,25.554889
佳用华联超市(寻甸店),103.267294,25.563968
滇池学院杨林校区-吉佳超市,103.009152,25.237942
溢百佳超市,103.188579,26.08921
通汇购物中心,103.267702,25.555966
乐百惠生活超市(禄劝财富中心店),102.476561,25.561542
三江购物(杨林店),103.070921,25.233729
正义坊购物中心,102.715921,25.046076
泰和超市(丹凤桥店),103.04531,25.350892
省鑫超市(康朗村店),102.897671,25.109658
旺上达超市,103.025598,25.248053
家利福超市(好爱家分店),103.129462,25.318556
赛麦多超市,103.002585,25.244911
华联超市(古城店),103.195677,24.97807
阿建超市,103.02123,25.252812
好乐多超市(功山店),103.268106,25.743778
东川区农村华联网超市,103.19193,26.094603
家家有生活平价超市,103.116772,25.69159
溪盛超市,103.174823,26.111783
梅子百货超市,103.338859,25.53748
祥丰合超市(阿旺分店),103.259013,25.92399
春丽超市,102.947119,25.693209
得胜超市,103.040416,25.499928
潮玉超市,103.257438,25.428924
好新家超市(则黑店),102.690908,26.13609
铜都街道碧云社区慈善爱心超市,103.186701,26.091033
自荣超市,103.175558,26.119417
宜邦超市,103.187751,26.082158
安秧生活超市,103.131953,25.822942
东川区世盛超市,103.186113,26.082939
百贸超市(则黑店),102.690375,26.136432
荣盛杰超市(大寨店),103.165018,26.158953
特产超市,102.932237,25.772973
惠多多百货超市,102.798714,26.028581
景玉超市,103.195212,26.078051
效益超市(杨桥店),103.062519,25.315553
凯艳超市,103.132415,26.222612
惠民连锁易购家电百货超市(东川店),103.18011,26.095357
畅誉超市,103.263141,25.548879
宏达超市(汤因线店),102.955774,26.289221
屈臣氏(七彩METOWN购物中心店),102.73334,25.054971
龙保超市,103.024577,25.247609
忠骏鲜生生活超市,103.193006,26.085216
屈臣氏(伊皇购物中心店),102.491971,24.92763
加宏百货店,102.935456,25.774352
福润万家购物中心,103.162458,25.466344
寻甸羊街老才百货店,103.132254,25.448515
胖子百货店,103.123082,25.436888
易捷百货店,103.127901,25.332128
杰昆百货店,103.032041,25.357633
优客生活(工厂店),103.194435,26.066389
顺刚百货店,103.386559,25.64229
九久久百货店,103.088416,25.881489
乐豪购,103.359411,25.786276
美联购物中心(嵩明店),103.047579,25.344357
忠骏超市(新桥河店),103.18896,26.094811
誉仁超市,103.198771,26.090714
屈臣氏(中汇商业中心店),102.74587,25.098041
花卉超市,103.200331,26.085766
美联购物中心(药岭南路店),103.12917,25.318938
天天红百货,103.264758,25.566392
紫萱百货店,103.052356,25.335715
益家人百货,102.900521,25.781424
正凤百货,102.926371,25.79116
望月塘百货,102.877123,25.899922
鸿福生鲜超市,103.175132,26.119918
电机路,102.641935,25.037741
大渔路,102.650286,25.028484
益宁路,102.647783,25.039971
环湖南路,102.59575,24.731528
车和路,102.574278,24.991638
马街南路,102.644493,25.036305
路路,102.785894,24.995568
希望路,102.717995,24.988144
云南人家(珍泉路店),102.474576,24.921074
县八一级路,102.365688,24.660655
兴发路/温泉路(路口),102.499208,24.936356
连然街,102.494079,24.930962
马街,102.655662,25.040963
假日酒店(秀屏路店),102.477276,25.561453
八街街道,102.365942,24.669836
二街镇,102.495956,24.702335
兴隆小区(兴余路),102.598714,24.68802
六街镇,102.691846,24.537967
县街,102.424561,24.860187
昆阳大街,102.600712,24.683414
中滩街,102.616129,24.789713
永乐大街,102.601866,24.664995
路璐,103.564218,24.648856
昆阳大街/永乐大街(路口),102.601379,24.680694
中国工商银行24小时自助银行(珍泉路支行),102.479445,24.920833
3号路,102.887301,25.02551
春雨路与昭宗路交叉口,102.648356,25.048295
路路帮,102.747467,25.050618
红兴路与霖雨路交叉口,102.734591,25.103299
官渡11号路辅路,102.77953,24.964198
在路上,102.657874,25.088977
科医路92,102.672794,25.061473
学府路1号,102.714243,25.067265
霖雨路辅路,102.740816,25.101207
广和路辅路,102.783214,24.96638
新兴路97,102.744724,25.065848
科业路与新和巷交叉口,102.677644,25.059578
春雨路与益宁路交叉口,102.645343,25.041078
新兴路77,102.743893,25.065112
昆明市第二十一中学,102.740528,25.13325
云南师范大学-汇学楼4,102.858377,24.866718
云南师范大学-汇学楼1,102.860621,24.866163
中国医学科学院中国协和医科大学医学生物学研究所,102.677946,25.054821
云南大学-南学楼,102.707719,25.059367
学大教育(环城南路校区),102.736895,25.033978
汇学楼-汇学楼2,102.858567,24.865812
云南师范大学附属小学,102.706528,25.058031
学大教育(前兴路),102.713996,24.998602
学大教育(云南小花园校区),102.723068,25.04823
昆明市学成教育,102.751544,25.06289
勤思优学,102.729181,25.049236
学成饭店(宜良店),103.155266,24.944195
学成饭店(官南大道店),102.725554,24.988486
学成饭店(金实店),102.745579,25.082371
中国医学科学院医学生物学研究所,102.823758,24.780047
学成饭店(小板桥店),102.779424,24.982808
学成口腔诊所,102.86678,24.864756
昆明学大教育(世纪城校区),102.75301,24.967238
云南省农业科学院农产品加工研究所(学云路),102.713,25.0705
杨林酸菜鱼(学泉街店),103.071779,25.233864
贝比颂公学,102.760087,25.08782
云南省民族中等专业学校(环城西路),102.696354,25.045253
学大教育(滇池卫城学习中心),102.688422,24.980726
云南学东科技有限公司,102.902978,25.067586
学优教育(嵩华巷),102.493231,24.938276
学大教育(高新区学习中心),102.669912,25.067775
学钢琴,102.705614,25.059838
禄劝学高书店,102.480427,25.546022
优学乐思教育中心,102.769717,24.938039
学大教育(云南北市区校区),102.736659,25.102063
茶室(永学巷店),102.709968,25.025471
学思电脑,102.714329,25.06438
学大教育(建设路校区),102.702008,25.058792
学成烟酒(茨坝店),102.743379,25.153086
学韵苑,102.704379,25.062141
云学教育中心,102.853482,24.848925
学宫教育,102.782984,24.982134
青年外语学乐教育,102.702099,25.058611
学伴文具,102.699337,25.011514
趣学英语(石林中心),103.293783,24.761885
学大教育个性化学习中心,102.753013,24.967227
金学教育(昆明世纪城校区),102.753403,24.966827
学博教育,103.186316,26.100286
云南师大-天体物理学,102.862819,24.869097
云南工艺矿物学研究中心,102.714681,25.06452
七子智慧学,102.746528,25.100092
学汇苑,102.704212,25.062836
学考网(云南),102.708728,25.068283
九墨学谷,102.736788,25.0339
敏学教育培训学校,102.839998,24.841428
晨学书店,102.508866,24.936823
学大教育(国贸个性化学习中心),102.738612,25.019797
云南省畜牧兽医学会-养猪学分会,102.764699,25.096289
昆明敏学网络科技有限公司,102.747967,25.019397
安宁学源超市,102.511566,24.934188
学大小花园,102.722858,25.047975
云南省老年学学会,102.74539,25.041587
山木企学咨询,102.698383,25.067206
学美商店,102.92781,25.775143
